result_DS_BD_error
データフレーム <A> の <B> の未入力の値を表属性 <B> の平均値で補完する	<A> [ <B> ] . fillna ( <A> [ <B> ] . mean ( ) )	fillna <A> [ <B> ] . mean ( ) )	0
そこで、マーカーの形状のエッジ色はマゼンタである	markeredgecolor = 'magenta'	markeredgewidth = 'magenta'	0
データフレーム <A> の中の NaN を <B> に置き換え、インプレースする	"<A> . fillna ( <B> , inplace = True )"	"for <A> . fillna ( <B> , inplace = True )"	0
表データ <A> 中の <B> を未入力の値に置換し、未入力の値が存在する行を落とし、 <A> とする	"<A> = <A> . replace ( <B> , np . nan ) . dropna ( )"	"<B> <A> = <A> . replace ( <B> , np . nan ) . dropna ( )"	0
表データ <A> と <B> を横方向に結合する	"pd . merge ( <A> , <B> )"	"merge pd . merge ( <A> , <B> )"	0
そこで、マーカーの形のエッジ色としてグレーを使う	markeredgecolor = 'gray'	activation = 'gray'	0
データフレーム <A> <B> と <A> データフレームカラム <C> と <A> データフレームカラム <D> の箱ひげ図を一枚のグラフで描写する	"plt . boxplot ( [ <A> [ <B> ] , <A> [ <C> ] , <A> [ <D> ] ] )"	"sns . pairplot ( <A> [ [ <B> , <C> , <D> ] ] )"	0
エクセルファイル <A> のシート全てを表データに格納する	"pd . read_excel ( <A> , sheet_name = None )"	"sheet_name = pd . read_excel ( <A> , sheet_name = None )"	0
表データ <A> の <B> の未入力の値を <B> コラムの平均値で穴埋めする	<A> [ <B> ] . fillna ( <A> [ <B> ] . mean ( ) )	fillna <A> [ <B> ] . mean ( ) )	0
表 <A> の表属性 <B> をインデックス、 <C> 表属性を表属性としたピボットテーブルを作成する	"<A> . pivot_table ( index = <B> , columns = <C> )"	"df1 <A> . pivot_table ( index = <B> , columns = <C> )"	0
<A> を y 軸、 <B> をグラフの x 軸として、グラフを描く	"plt . plot ( <A> , <B> )"	"autopct = plt . plot ( <A> , <B> )"	0
<A> の <B> を昇順で並び替え、 <A> にする	<A> = <A> . sort_values ( <B> )	= <A> . sort_values ( <B> )	0
表 <A> の元の位置を振り直して、置き換える	"<A> . reset_index ( drop = True , inplace = True )"	reset_index = <A> . reset_index ( drop = True )	0
データフレーム <A> の <B> についての最頻値を取得する	<A> [ <B> ] . mode ( )	<B> <A> [ <B> ] . mode ( ) )	0
データフレーム <B> 内の NaN を <B> の平均値で埋めて、 <A> とする	<A> = <B> . fillna ( <B> . mean ( ) )	range = <B> . fillna ( <B> . mean ( ) )	0
重複している最後の行を残して <B> ( データフレーム ) 内の重複している行を落として、 <A> とする	<A> = <B> . drop_duplicates ( keep = False )	markeredgewidth = <A> . drop_duplicates ( keep = False )	0
表 <A> のカテゴリ変数をダミー変数に変換して、 <A> に代入する	<A> = pd . get_dummies ( <A> )	= pd . get_dummies ( <A> )	0
表データ <A> の <B> 行目の <C>	<A> . iloc [ <B> ] [ <C> ]	X [ <A> ] [ <B> ] [ <C> ]	0
表データ <A> の <B> 列の NaN を <C> で穴埋めする	<A> [ <B> ] . fillna ( <C> )	plt <A> [ <B> ] . fillna ( <C> )	0
列番号 <C> をインデックスに設定して、 <B> を読み込んで、 <A> とする	"<A> = pd . read_csv ( <B> , index_col = <C> )"	"] = <A> . read_csv ( <B> , index_col = <C> )"	0
コラム <B> と <C> を降順に並び替えて、 <A> にする	"<A> = <A> . sort_values ( [ <B> , <C> ] , ascending = False )"	"= <A> . sort_values ( [ <B> , <C> ] , ascending = False )"	0
<A> の列 <B> と <A> の <C> と <A> 表の列 <D> についてのボックスチャートを表示する	"plt . boxplot ( [ <A> [ <B> ] , <A> [ <C> ] , <A> [ <D> ] ] )"	"boxplot plt . boxplot ( [ <A> [ <B> ] , <A> [ <C> ] , <A> [ <D> ] ] )"	0
表データ <B> の重複している値がある行を取り除いて、 <A> とする	<A> = <B> . drop_duplicates ( )	= <B> . drop_duplicates ( )	0
先頭の列を位置と設定して、ファイル名 <B> から読み込み、 <A> にする	"<A> = pd . read_csv ( <B> , index_col = 0 )"	"pd . read_csv ( <A> , index_col = <B> )"	0
データフレーム <A> 中にある <B> を未記入の値とする	"<A> . replace ( <B> , np . nan )"	"replace <A> . replace ( <B> , np . nan )"	0
表データ <A> の <B> ごとに表属性 <C> の平均	<A> . groupby ( [ <B> ] ) [ <C> ] . mean ( )	plt . groupby ( <A> [ <B> ] ) [ <C> ] . mean ( )	0
表データを <A> ファイルから <B> 区切りで読み込む	"pd . read_csv ( <A> , sep = <B> )"	"<A> . read_csv ( <B> , sep = ',' )"	0
データフレーム <A> の中の NaN を <B> に置き換えて、置き換える	<A> = <A> . fillna ( <B> )	"<A> . fillna ( <B> , inplace = True )"	1
表データ <A> 内の欠損値を <B> に置き換え、インプレースする	"<A> . fillna ( <B> , inplace = True )"	"<B> <A> . fillna ( <B> , inplace = True )"	0
<B> というエクセルファイルをデータフレームとして読み、 <A> とする	"<A> = pd . read_excel ( <B> , sheet_name = None )"	df = pd . read_excel ( <B> )	0
<A> ( データフレーム ) の <B> と <C> を大から小へとして、 <A> とする	"<A> = <A> . sort_values ( [ <B> , <C> ] , ascending = False )"	"= <A> . sort_values ( [ <B> , <C> ] , ascending = False )"	0
表 <A> を <B> を元に昇順でソート	<A> . sort_values ( <B> )	<A> = <A> . sort_values ( <B> )	1
