<name4> = <val5>	<name4> に <val5> を代入
( <name6> + <name3> - 1 ) // <name3>	<name3> で <name6> をわった値を切り上げる
( <name3> + <name2> - 1 ) // <name2>	<name2> で <name3> を割った値を切り上げる
( <name2> + <name3> - 1 ) // <name3>	<name3> で割った値を <name2> を切り上げる
( <name3> + <name4> - 1 ) // <name4>	割った値を <name4> で <name3> を切り上げる
( <name4> + <name6> - 1 ) // <name6>	<name4> をわった値を <name6> で切り上げる
( <name1> + <name4> - 1 ) // <name4>	<name4> でわった値を <name1> を切り上げる
( <name1> + <name4> - 1 ) // <name4>	わった値を <name1> を <name4> で切り上げる
( <name1> + <name5> - 1 ) // <name5>	<name1> を割った値を <name5> で切り上げる
<name2> &  <name3>	<name2> と <name3> の論理積
<name3> &  <name1>	<name3> と <name1> の論理積を求める
<name6> |  <name1>	<name6> と <name1> の論理和
<name1> |  <name3>	<name1> と <name3> の論理和を計算する
x ^  <name5>	a と <name5> の排他的論理和
x ^  <name3>	a と <name3> の排他的論理和を計算する
<name2> << <name3>	<name2> を <name3> だけシフトした左シフト値
<name1> << <name2>	<name1> を <name2> だけシフトした左シフト値を計算する
<name4> >> <name6>	<name4> を <name6> だけシフトした右シフト値
<name5> >> <name1>	<name5> を <name1> だけシフトした右シフト値を求める
<name4> += <name5>	<name4> を <name5> だけ増加させる
<name3> += <name4>	<name3> を <name4> だけ増やす
<name3> += <name6>	<name3> を <name6> だけ大きくする
<name3> += <name1>	<name3> に <name1> を足して代入する
<name4> += <name2>	<name2> を <name4> に足して代入する
<name2> += <name1>	<name2> に <name1> を足して入れる
<name4> += <name6>	<name6> を <name4> に足して入れる
<name1> += <name5>	<name5> を <name1> に足して代入
<name6> += <name1>	<name6> に <name1> を足して代入
<name1> += <name5>	<name1> と <name5> の値を足して <name1> に代入する
<name5> += <name3>	<name5> と <name3> の値を足して <name5> に代入
<name4> += <name1>	<name4> と <name1> の値を足して <name4> に入れる
<name2> += <name6>	<name2> たす <name6> の値を <name2> に代入する
<name5> += <name1>	<name5> たす <name1> の値を <name5> に入れる
<name2> += <name5>	<name2> たす <name5> の値を <name2> に代入
<name6> += <name5>	<name6> 足す <name5> の値を <name6> に代入
<name3> += <name5>	<name3> 足す <name5> の値を <name3> に入れる
<name5> += <name4>	<name5> 足す <name4> の値を <name5> に代入する
<name1> -= <name2>	<name1> を <name2> だけ減少させる
<name3> -= <name5>	<name3> を <name5> だけ小さくする
<name4> -= <name3>	<name4> を <name3> だけ減らす
<name3> -= <name6>	<name3> から <name6> の値を引いて <name3> に代入する
<name6> -= <name3>	<name6> から <name3> を引いて <name6> に代入
<name3> -= <name5>	<name3> から <name5> の値を引いて <name3> に入れる
<name3> -= <name4>	<name3> から <name4> の値を引いて <name3> に代入
<name3> -= <name2>	<name3> から <name2> を引いて <name3> に入れる
<name6> -= <name5>	<name6> から <name5> を引いて <name6> に代入する
<name2> -= <name3>	<name2> 引く <name3> の値を <name2> に代入する
<name6> -= <name2>	<name6> ひく <name2> の値を <name6> に代入する
<name6> -= <name4>	<name6> ひく <name4> の値を <name6> に代入
<name1> -= <name5>	<name1> ひく <name5> の値を <name1> に入れる
<name2> -= <name3>	<name2> 引く <name3> の値を <name2> に代入
<name5> -= <name6>	<name5> 引く <name6> の値を <name5> に入れる
<name3> *= <name4>	<name3> を <name4> 倍にする
<name1> *= <name6>	<name6> 倍に <name1> をする
<name3> *= <name4>	<name3> に <name4> をかけた値を <name3> に代入する
<name5> *= <name3>	<name3> を <name5> にかけた値を <name5> に入れる
<name6> *= <name1>	<name6> に <name6> に <name1> をかけた値を代入
<name4> *= <name5>	<name4> に <name5> を <name4> にかけた値を代入する
<name3> *= <name2>	<name3> に <name2> をかけた値を <name3> に入れる
<name1> *= <name2>	<name1> に <name2> を <name1> にかけた値を代入
<name4> *= <name5>	<name4> に <name5> を <name4> にかけた値を入れる
<name6> *= <name2>	<name2> を <name6> にかけた値を <name6> に代入
<name1> *= <name5>	<name1> に <name5> をかけた値を <name1> に代入
<name2> *= <name5>	<name5> を <name2> にかけた値を <name2> に代入する
<name3> *= <name1>	<name3> に <name3> に <name1> をかけた値を代入する
<name3> *= <name2>	<name3> に <name3> に <name2> をかけた値を入れる
<name3> ** = <name6>	<name3> を <name6> 乗する
<name1> /= <name6>	<name1> を <name6> 分の一にする
<name4> // = <name5>	<name4> を <name5> 分の一にする
<name6> % = <name2>	<name6> を <name2> で割った余りを <name6> に代入する
<name5> % = <name4>	<name5> に <name5> を <name4> でわったあまりを代入
<name3> % = <name1>	<name3> を <name1> で割った余りを <name3> に入れる
<name1> % = <name2>	<name1> に <name1> を <name2> で割った余りを代入する
<name5> % = <name6>	<name5> を <name6> でわったあまりを <name5> に代入
<name2> % = <name4>	<name2> に <name2> を <name4> でわったあまりを入れる
<name6> % = <name5>	<name6> を <name5> でわったあまりを <name6> に入れる
<name5> % = <name1>	<name5> に <name5> を <name1> で割った余りを入れる
abs ( <name4> )	<name4> の絶対値
abs ( <name2> )	<name2> の絶対値を求める
complex ( <name3> )	<name3> の複素数
complex ( <name2> )	<name2> の複素数を計算する
complex ( <name4> , <name2> )	<name4> を実部 <name2> を虚部とした複素数
complex ( <name1> , <name3> )	実部 <name3> を <name1> を虚部とした複素数
complex ( <name6> , <name3> )	<name6> を実部 <name3> を虚部とした複素数を算出する
complex ( <name4> , <name5> )	実部 <name5> を <name4> を虚部とした複素数を求める
divmod ( <name3> , <name1> )	<name3> を <name1> で割ったときの商と剰余の組
divmod ( <name4> , <name3> )	<name4> を <name3> でわったときの商とあまりの組
divmod ( <name1> , <name6> )	<name1> を <name6> でわったときの商と剰余の組
divmod ( <name2> , <name5> )	<name2> を <name5> で割ったときの商と余りの組
divmod ( <name1> , <name6> )	<name1> を <name6> で割ったときの商とあまりの組
divmod ( <name4> , <name6> )	<name4> を <name6> でわったときの商と余りの組
divmod ( <name6> , <name4> )	<name6> を <name4> で割ったときの商とあまりの組を求める
divmod ( <name2> , <name3> )	<name2> を <name3> でわったときの商と剰余の組を計算する
divmod ( <name4> , <name2> )	<name4> を <name2> で割ったときの商と余りの組を計算する
divmod ( <name2> , <name5> )	<name2> を <name5> でわったときの商と余りの組を計算する
divmod ( <name4> , <name2> )	<name4> を <name2> でわったときの商とあまりの組を算出する
divmod ( <name2> , <name5> )	<name2> を <name5> で割ったときの商と剰余の組を算出する
divmod ( <name4> , <name2> )	<name4> と <name2> の商と剰余の組
divmod ( <name1> , <name6> )	<name1> と <name6> の商とあまりの組
divmod ( <name3> , <name2> )	<name3> と <name2> の商と剰余の組を求める
divmod ( <name4> , <name5> )	<name4> と <name5> の商とあまりの組を求める
hash ( <name2> )	<name2> のハッシュ値
hash ( <name4> )	<name4> のハッシュ値を求める
pow ( <name5> , <name2> )	<name5> の <name2> 乗
pow ( <name5> , <name4> )	<name5> の <name4> 乗を計算する
pow ( <name3> , <name1> , <name5> )	<name3> の <name1> 乗に対する <name5> の剰余
pow ( <name5> , <name1> , <name6> )	<name5> の <name1> 乗に対する <name6> のあまり
pow ( <name2> , <name1> , <name3> )	<name2> の <name1> 乗に対する <name3> の剰余を算出する
pow ( <name6> , <name4> , <name2> )	<name6> の <name4> 乗に対する <name2> のあまりを計算する
pow ( <name2> , <name4> , <name5> )	<name2> の <name4> 乗を <name5> で割った余り
pow ( <name6> , <name2> , <name3> )	<name6> の <name2> 乗を <name3> でわったあまり
pow ( <name2> , <name4> , <name1> )	<name2> の <name4> 乗を <name1> で割った余りを計算する
pow ( <name2> , <name4> , <name5> )	<name2> の <name4> 乗を <name5> でわったあまりを求める
round ( <name6> )	<name6> の小数点を丸めた値
round ( <name3> )	<name3> の小数点を丸めた値を求める
round ( <name5> )	<name5> の整数値
round ( <name2> )	<name2> の整数値を計算する
round ( <name1> , 1 )	<name1> を小数点第一位までに丸めた値
round ( <name3> , 1 )	小数点第一位までに <name3> を丸めた値
round ( <name5> , 1 )	<name5> を小数点第一位までに丸めた値を算出する
round ( <name2> , 1 )	小数点第一位までに <name2> を丸めた値を算出する
round ( <name5> , -1 )	<name5> を十の位までに丸めた値
round ( <name1> , -1 )	十の位までに <name1> を丸めた値
round ( <name6> , -1 )	<name6> を十の位までに丸めた値を求める
round ( <name6> , -1 )	十の位までに <name6> を丸めた値を求める
max ( <name4> , <name2> , <name3> )	<name4> 、 <name2> 、 <name3> の中で一番大きい値
max ( <name2> , <name1> , <name3> )	<name2> 、 <name1> 、 <name3> のうち最大の値
max ( <name4> , <name6> , <name1> )	<name4> 、 <name6> 、 <name1> の中でもっとも大きい値
max ( <name3> , <name6> , <name4> )	<name3> 、 <name6> 、 <name4> のうちもっとも大きい値
max ( <name6> , <name3> , <name2> )	<name6> 、 <name3> 、 <name2> の中で一番大きい値を算出する
max ( <name5> , <name6> , <name3> )	<name5> 、 <name6> 、 <name3> のうち最大の値を計算する
max ( <name2> , <name4> , <name3> )	<name2> 、 <name4> 、 <name3> のうちもっとも大きい値を算出する
max ( <name3> , <name1> , <name4> )	<name3> 、 <name1> 、 <name4> の中でもっとも大きい値を算出する
max ( <name3> , <name5> , <name4> )	<name3> 、 <name5> 、 <name4> の最大値
max ( <name5> , <name2> , <name6> )	<name5> 、 <name2> 、 <name6> の最大値を求める
min ( <name5> , <name6> , <name1> )	<name5> 、 <name6> 、 <name1> の中で一番小さい値
min ( <name6> , <name4> , <name3> )	<name6> 、 <name4> 、 <name3> のうち最小の値
min ( <name4> , <name3> , <name2> )	<name4> 、 <name3> 、 <name2> の中でもっとも小さい値
min ( <name4> , <name2> , <name6> )	<name4> 、 <name2> 、 <name6> のうちもっとも小さい値
min ( <name6> , <name3> , <name4> )	<name6> 、 <name3> 、 <name4> の中で一番小さい値を算出する
min ( <name6> , <name2> , <name3> )	<name6> 、 <name2> 、 <name3> の中でもっとも小さい値を求める
min ( <name4> , <name1> , <name2> )	<name4> 、 <name1> 、 <name2> のうちもっとも小さい値を求める
min ( <name3> , <name2> , <name4> )	<name3> 、 <name2> 、 <name4> のうち最小の値を算出する
min ( <name1> , <name3> , <name6> )	<name1> 、 <name3> 、 <name6> の最小値
min ( <name5> , <name2> , <name1> )	<name5> 、 <name2> 、 <name1> の最小値を求める
del <name5>	<name5> をデリートする
del <name3>	<name3> を消す
del <name1>	<name1> を削除する
global <name4>	<name4> をグローバル変数とする
nonlocal <name3>	<name3> を非ローカル変数とする
float ( <name6> )	<name6> を浮動小数点数に変換する
float ( <name6> )	<name6> を浮動小数点数型に直す
float ( <name2> )	浮動小数点数に <name2> を置き換える
float ( <name4> )	<name4> を浮動小数点数にする
float ( <name6> )	<name6> を浮動小数点数型にする
float ( <name6> )	<name6> を浮動小数点数に直す
float ( <name1> )	浮動小数点数に <name1> を直す
float ( <name1> )	<name1> を浮動小数点数に置き換える
float ( <name5> )	浮動小数点数に <name5> をする
float ( <name4> )	浮動小数点数型に <name4> を変換する
float ( <name3> )	浮動小数点数型に <name3> を直す
float ( <name6> )	<name6> を浮動小数点数型に置き換える
float ( <name4> )	浮動小数点数に <name4> を変換する
float ( <name3> )	浮動小数点数型に <name3> をする
float ( <name4> )	浮動小数点数型に <name4> を置き換える
float ( <name4> )	<name4> を浮動小数点数型に変換する
<name4> = float ( <name1> )	<name1> を浮動小数点数型にして、 <name4> にする
<name1> = float ( <name3> )	<name3> を浮動小数点数型にされた結果を <name1> にする
<name6> = float ( <name2> )	浮動小数点数に <name2> を変換して、 <name6> に代入する
<name1> = float ( <name2> )	浮動小数点数に <name2> を変換された結果を <name1> とする
<name2> = float ( <name1> )	<name1> を浮動小数点数に直し、 <name2> に代入する
<name2> = float ( <name6> )	<name6> を浮動小数点数に直した結果を <name2> に代入する
<name2> = float ( <name1> )	浮動小数点数型に <name1> を直して、 <name2> とする
<name6> = float ( <name3> )	浮動小数点数型に <name3> を直した結果を <name6> にする
<name2> = float ( <name3> )	<name3> を浮動小数点数型に変換し、 <name2> にする
<name2> = float ( <name6> )	<name6> を浮動小数点数型に変換した結果を <name2> に代入する
<name4> = float ( <name1> )	<name1> を浮動小数点数型に置き換え、 <name4> にする
<name2> = float ( <name4> )	<name4> を浮動小数点数型に置き換えた結果を <name2> に代入する
<name4> = float ( <name6> )	<name6> を浮動小数点数にして、 <name4> にする
<name6> = float ( <name4> )	<name4> を浮動小数点数にした結果を <name6> にする
<name1> = float ( <name6> )	浮動小数点数に <name6> を直し、 <name1> とする
<name3> = float ( <name4> )	浮動小数点数に <name4> を直した結果を <name3> に代入する
<name5> = float ( <name4> )	<name4> を浮動小数点数に置き換え、 <name5> にする
<name3> = float ( <name1> )	<name1> を浮動小数点数に置き換えた結果を <name3> とする
<name6> = float ( <name3> )	<name3> を浮動小数点数型に直し、 <name6> に代入する
<name1> = float ( <name2> )	<name2> を浮動小数点数型に直された結果を <name1> とする
<name1> = float ( <name6> )	浮動小数点数に <name6> をして、 <name1> に代入する
<name2> = float ( <name3> )	浮動小数点数に <name3> をされた結果を <name2> に代入する
<name2> = float ( <name6> )	浮動小数点数に <name6> を置き換えて、 <name2> に代入する
<name5> = float ( <name6> )	浮動小数点数に <name6> を置き換えた結果を <name5> とする
<name2> = float ( <name6> )	<name6> を浮動小数点数に変換し、 <name2> とする
<name4> = float ( <name5> )	<name5> を浮動小数点数に変換した結果を <name4> にする
<name3> = float ( <name4> )	浮動小数点数型に <name4> を置き換えて、 <name3> にする
<name2> = float ( <name4> )	浮動小数点数型に <name4> を置き換えた結果を <name2> とする
<name4> = float ( <name3> )	浮動小数点数型に <name3> を変換し、 <name4> にする
<name5> = float ( <name4> )	浮動小数点数型に <name4> を変換された結果を <name5> に代入する
<name3> = float ( <name6> )	浮動小数点数型に <name6> をし、 <name3> とする
<name6> = float ( <name2> )	浮動小数点数型に <name2> をされた結果を <name6> に代入する
float ( <name5> )	<name5> を変換した浮動小数点数
<name2> = float ( <name1> )	<name1> を変換した浮動小数点数を <name2> とする
float ( <name5> )	<name5> を浮動小数点数型として取得する
float ( <name2> )	<name2> を浮動小数点数型として得る
float ( <name1> )	浮動小数点数として <name1> を得る
float ( <name2> )	浮動小数点数型として <name2> を得る
float ( <name3> )	<name3> を浮動小数点数として得る
float ( <name2> )	<name2> を浮動小数点数として取得する
float ( <name5> )	浮動小数点数として <name5> を取得する
float ( <name4> )	浮動小数点数型として <name4> を取得する
<name3> = float ( <name5> )	<name5> を浮動小数点数型として得て、 <name3> にする
<name3> = float ( <name6> )	<name6> を浮動小数点数型として得た結果を <name3> とする
<name4> = float ( <name6> )	<name6> を浮動小数点数として得、 <name4> にする
<name5> = float ( <name3> )	<name3> を浮動小数点数として得られた結果を <name5> に代入する
<name5> = float ( <name2> )	浮動小数点数として <name2> を得て、 <name5> とする
<name6> = float ( <name4> )	浮動小数点数として <name4> を得た結果を <name6> にする
<name3> = float ( <name5> )	<name5> を浮動小数点数型として取得して、 <name3> に代入する
<name6> = float ( <name5> )	<name5> を浮動小数点数型として取得した結果を <name6> にする
<name2> = float ( <name4> )	浮動小数点数として <name4> を取得し、 <name2> に代入する
<name4> = float ( <name6> )	浮動小数点数として <name6> を取得した結果を <name4> に代入する
<name3> = float ( <name1> )	浮動小数点数型として <name1> を得て、 <name3> とする
<name3> = float ( <name5> )	浮動小数点数型として <name5> を得られた結果を <name3> とする
<name4> = float ( <name2> )	<name2> を浮動小数点数として取得し、 <name4> とする
<name1> = float ( <name5> )	<name5> を浮動小数点数として取得した結果を <name1> にする
<name2> = float ( <name5> )	浮動小数点数型として <name5> を取得し、 <name2> にする
<name5> = float ( <name2> )	浮動小数点数型として <name2> を取得した結果を <name5> とする
int ( <name2> )	<name2> を整数型に直す
int ( <name4> )	<name4> を整数に置き換える
int ( <name5> )	整数に <name5> をする
int ( <name3> )	<name3> を整数型に置き換える
int ( <name1> )	<name1> を整数型に変換する
int ( <name3> )	整数に <name3> を変換する
int ( <name4> )	<name4> を整数に直す
int ( <name3> )	整数に <name3> を直す
int ( <name2> )	<name2> を整数にする
int ( <name4> )	<name4> を整数に変換する
int ( <name2> )	整数に <name2> を置き換える
int ( <name5> )	整数型に <name5> をする
int ( <name4> )	整数型に <name4> を変換する
int ( <name3> )	整数型に <name3> を直す
int ( <name6> )	<name6> を整数型にする
int ( <name6> )	整数型に <name6> を置き換える
<name1> = int ( <name3> )	<name3> を整数型に変換して、 <name1> にする
<name5> = int ( <name4> )	<name4> を整数型に変換した結果を <name5> に代入する
<name5> = int ( <name4> )	<name4> を整数にして、 <name5> にする
<name3> = int ( <name4> )	<name4> を整数にされた結果を <name3> にする
<name1> = int ( <name5> )	整数に <name5> を置き換え、 <name1> とする
<name1> = int ( <name3> )	整数に <name3> を置き換えた結果を <name1> にする
<name5> = int ( <name4> )	整数に <name4> を直し、 <name5> とする
<name3> = int ( <name1> )	整数に <name1> を直された結果を <name3> とする
<name3> = int ( <name1> )	<name1> を整数に置き換え、 <name3> とする
<name2> = int ( <name3> )	<name3> を整数に置き換えた結果を <name2> にする
<name3> = int ( <name4> )	<name4> を整数型にして、 <name3> とする
<name4> = int ( <name2> )	<name2> を整数型にした結果を <name4> とする
<name1> = int ( <name6> )	整数に <name6> をして、 <name1> に代入する
<name2> = int ( <name5> )	整数に <name5> をされた結果を <name2> に代入する
<name5> = int ( <name2> )	<name2> を整数型に置き換えて、 <name5> とする
<name4> = int ( <name3> )	<name3> を整数型に置き換えられた結果を <name4> とする
<name2> = int ( <name1> )	整数型に <name1> を直し、 <name2> に代入する
<name3> = int ( <name5> )	整数型に <name5> を直された結果を <name3> にする
<name6> = int ( <name3> )	<name3> を整数に直して、 <name6> にする
<name2> = int ( <name5> )	<name5> を整数に直した結果を <name2> に代入する
<name5> = int ( <name1> )	<name1> を整数型に直して、 <name5> とする
<name4> = int ( <name5> )	<name5> を整数型に直した結果を <name4> とする
<name4> = int ( <name1> )	整数に <name1> を変換し、 <name4> にする
<name2> = int ( <name3> )	整数に <name3> を変換した結果を <name2> とする
<name4> = int ( <name2> )	整数型に <name2> を変換し、 <name4> に代入する
<name6> = int ( <name2> )	整数型に <name2> を変換された結果を <name6> に代入する
<name4> = int ( <name3> )	整数型に <name3> を置き換え、 <name4> とする
<name3> = int ( <name4> )	整数型に <name4> を置き換えられた結果を <name3> にする
<name4> = int ( <name5> )	整数型に <name5> をし、 <name4> にする
<name5> = int ( <name1> )	整数型に <name1> をした結果を <name5> とする
<name2> = int ( <name1> )	<name1> を整数に変換して、 <name2> とする
<name2> = int ( <name6> )	<name6> を整数に変換された結果を <name2> とする
int ( <name1> )	<name1> を変換した整数
<name3> = int ( <name2> )	<name2> を変換した整数を <name3> とする
int ( <name3> )	<name3> を整数型として得る
int ( <name6> )	整数として <name6> を得る
int ( <name6> )	整数型として <name6> を得る
int ( <name3> )	整数として <name3> を取得する
int ( <name1> )	<name1> を整数として得る
int ( <name3> )	整数型として <name3> を取得する
int ( <name2> )	<name2> を整数として取得する
int ( <name6> )	<name6> を整数型として取得する
<name6> = int ( <name1> )	<name1> を整数型として得、 <name6> に代入する
<name4> = int ( <name2> )	<name2> を整数型として得た結果を <name4> とする
<name6> = int ( <name3> )	整数型として <name3> を取得して、 <name6> にする
<name4> = int ( <name1> )	整数型として <name1> を取得した結果を <name4> とする
<name5> = int ( <name2> )	<name2> を整数として得て、 <name5> にする
<name2> = int ( <name6> )	<name6> を整数として得られた結果を <name2> とする
<name4> = int ( <name6> )	<name6> を整数型として取得して、 <name4> とする
<name3> = int ( <name1> )	<name1> を整数型として取得した結果を <name3> にする
<name6> = int ( <name2> )	整数型として <name2> を得、 <name6> とする
<name2> = int ( <name3> )	整数型として <name3> を得られた結果を <name2> とする
<name4> = int ( <name6> )	<name6> を整数として取得し、 <name4> とする
<name6> = int ( <name3> )	<name3> を整数として取得した結果を <name6> とする
<name2> = int ( <name5> )	整数として <name5> を得て、 <name2> に代入する
<name6> = int ( <name4> )	整数として <name4> を得られた結果を <name6> にする
<name4> = int ( <name3> )	整数として <name3> を取得して、 <name4> にする
<name2> = int ( <name5> )	整数として <name5> を取得した結果を <name2> に代入する
str ( <name4> )	<name4> を文字列に変換する
str ( <name3> )	文字列型に <name3> を置き換える
str ( <name3> )	文字列に <name3> を直す
str ( <name1> )	<name1> を文字列にする
str ( <name2> )	<name2> を文字列型に置き換える
str ( <name2> )	文字列型に <name2> をする
str ( <name1> )	文字列に <name1> をする
str ( <name6> )	<name6> を文字列型に変換する
str ( <name3> )	<name3> を文字列に直す
str ( <name2> )	文字列型に <name2> を直す
str ( <name2> )	文字列に <name2> を変換する
str ( <name3> )	<name3> を文字列型にする
str ( <name4> )	<name4> を文字列に置き換える
str ( <name1> )	文字列に <name1> を置き換える
str ( <name3> )	文字列型に <name3> を変換する
str ( <name4> )	<name4> を文字列型に直す
<name1> = str ( <name4> )	<name4> を文字列型に変換し、 <name1> に代入する
<name2> = str ( <name5> )	<name5> を文字列型に変換した結果を <name2> とする
<name4> = str ( <name6> )	<name6> を文字列に直し、 <name4> とする
<name3> = str ( <name4> )	<name4> を文字列に直された結果を <name3> にする
<name3> = str ( <name4> )	<name4> を文字列に変換して、 <name3> に代入する
<name6> = str ( <name4> )	<name4> を文字列に変換した結果を <name6> とする
<name5> = str ( <name1> )	文字列に <name1> をして、 <name5> とする
<name5> = str ( <name1> )	文字列に <name1> をされた結果を <name5> にする
<name5> = str ( <name3> )	文字列に <name3> を直し、 <name5> に代入する
<name5> = str ( <name1> )	文字列に <name1> を直された結果を <name5> にする
<name6> = str ( <name5> )	<name5> を文字列型に直して、 <name6> に代入する
<name5> = str ( <name3> )	<name3> を文字列型に直された結果を <name5> とする
<name6> = str ( <name4> )	<name4> を文字列にして、 <name6> とする
<name6> = str ( <name3> )	<name3> を文字列にした結果を <name6> に代入する
<name6> = str ( <name2> )	文字列型に <name2> をして、 <name6> にする
<name6> = str ( <name2> )	文字列型に <name2> をした結果を <name6> にする
<name6> = str ( <name5> )	<name5> を文字列に置き換えて、 <name6> に代入する
<name4> = str ( <name1> )	<name1> を文字列に置き換えた結果を <name4> にする
<name2> = str ( <name6> )	文字列に <name6> を変換し、 <name2> に代入する
<name5> = str ( <name3> )	文字列に <name3> を変換された結果を <name5> に代入する
