<name2> <name6> <name4> <name1>	<name2> <name6> <name4> <name1> into default name space .
def <name6> ( <name3> , <name2> , <name1> = <val4> , <name5> = <name6> ) :	call the function warnings .warn with previous string and CacheKeyWarning as arguments . define the method <name6> with 4 arguments , <name3> , <name2> , <name1> defaulting to integer <val4> and <name5> defaulting to <name6> .
<name2> <name1> <name4> <name5> :	<name2> <name1> <name4> <name5> ,
<name2> = <name5> . <name2>	substitute <name5> .version for <name2> .
<name3> = <name1> . get ( <name6> , <name5> = <name5> )	call the <name1> .get method with arguments <name6> and <name5> set to <name5> , substitute the result for <name3> .
<name4> <name2> <name1> <name3> :	<name4> <name2> <name1> <name3> ,
<name1> <name5> ( <val2> % <name4> )	<name1> an exception of the class <name5> with string <val2> as argument , '%s' is substituted for <name4> .
<name2> . set ( <name4> , <name5> , <name1> = <name1> + <name3> )	call the method <name2> .set with <name4> , <name5> , <name1> incremented by <name3> , as arguments .
<name1> . delete ( <name5> , <name4> = <name4> )	call the <name1> .delete method with <name5> and <name4> set to <name4> as arguments .
<name6> <name3> + <name5>	sum <name3> and <name5> together , <name6> the result .
def <name2> ( <name5> , <name3> , <name6> = <val4> , <name1> = <name2> ) :	define the method <name2> with 4 arguments , <name5> , <name3> , <name6> defaulting to integer <val4> and <name1> defaulting to <name2> .
return <name3> . incr_version ( <name6> , - <name5> , <name2> )	call the method <name3> .incr_version with <name6> , negative <name5> and <name2> as arguments .
def <name1> ( <name3> , ** <name2> ) :	define the <name1> method with 2 arguments , <name3> and dictionary of argument pairs <name2> .
Close the cache connection	docstirng
pass	do nothing .
<name4> <name5>	<name4> module <name5> .
<name3> <name1> <name6> <name1>	<name3> <name1> <name6> <name1> into default name space .
<name6> :	<name6> ,
<name6> <name2> . utils . six . moves <name3> <name4> <name1> <name5>	<name6> <name2> .utils .six .moves <name3> <name4> <name1> <name5> , into default namespace .
except <name2> :	if <name2> exception occurred ,
<name4> <name2>	<name4> <name2> .
<name2> <name3> . conf <name4> <name6>	<name2> <name3> .conf <name4> <name6> into default name space .
<name3> <name2> . core . cache . backends . base <name5> <name1> , <name6>	<name3> <name2> .core .cache .backends .base <name5> <name1> and <name6> into default name space .
<name4> <name6> . db <name2> <name3> , <name1> , <name5> , <name4>	<name4> <name6> .db <name2> <name3> , <name1> , <name5> and <name4> into default name space .
<name4> <name1> . db . backends . utils <name6> <name2>	<name4> <name1> .db .backends .utils <name6> <name2> into default name space .
<name4> <name6> . utils <name2> <name5> , <name3>	<name4> <name6> .utils <name2> <name5> and <name3> into default name space .
<name5> <name2> . utils . encoding <name1> <name3>	<name5> <name2> .utils .encoding <name1> <name3> into default name space .
<name3> <name4> ( <name2> ) :	derive <name3> <name4> from the base <name3> <name2> .
def <name3> ( <name4> , <name2> ) :	define the initialization method <name3> with <name4> class instance and <name2> as arguments .
<name4> . db_table = <name3>	substitute <name3> for <name4> .db_table .
<name2> . app_label = <val1>	<name2> .app_label is a string <val1> .
<name3> . model_name = <val5>	<name3> .model_name is a string <val5> .
<name3> . verbose_name = <val2>	<name3> .verbose_name is a string <val2> .
<name6> . verbose_name_plural = <val5>	<name6> .verbose_name_plural is a string <val5> .
<name1> . object_name = <val4>	<name1> .object_name is a string <val4> .
<name3> . abstract = <name5>	<name3> .abstract is boolean <name5> .
<name6> . managed = <name4>	<name6> .managed is boolean <name4> .
<name5> . proxy = <name3>	<name5> .proxy is boolean <name3> .
<name2> <name6> ( <name1> ) :	derive <name2> <name6> from <name1> base <name2> .
def <name2> ( <name6> , <name3> , <name5> ) :	define the initialization method <name2> with <name6> , <name3> and <name5> as arguments .
<name2> . __init__ ( <name1> , <name5> )	call the <name2> .__init__ method with <name1> class instance and <name5> as the arguments .
<name6> . _table = <name5>	substitute <name5> for <name6> ._table .
<name6> <name1> ( <name2> ) :	derive <name1> <name6> from the <name2> base <name6> .
<name6> = <name2> ( <name1> )	<name6> is class <name2> class instance initialized with <name1> argument .
<name5> . cache_model_class = <name2>	substitute <name2> for <name5> .cache_model_class .
<name2> <name6> ( <name5> ) :	derive <name6> from the <name5> base <name2> .
def <name4> ( <name1> , <name6> , <name2> = <name5> , <name3> = <name5> ) :	define the method <name4> with 4 arguments , <name1> class instance , <name6> , <name2> set to <name5> and <name3> set to <name5> .
<name6> = <name2> . make_key ( <name6> , <name5> = <name5> )	call the method <name2> .make_key Whit <name6> and <name5> set to <name5> as arguments , substitute the result for <name6> .
<name5> . validate_key ( <name6> )	call the method <name5> .validate_key with argument <name6> .
<name6> = <name2> . db_for_read ( <name1> . cache_model_class )	call the method <name2> .db_for_read with <name1> .cache_model_class as argument , substitute the result for <name6> .
<name5> = <name1> [ <name3> ] . <name4> . quote_name ( <name6> . _table )	call the <name4> .quote_name method with argument <name6> ._table on the value under the <name3> key of <name1> dictionary , substitute the result for <name5> .
<name6> <name1> [ <name4> ] . <name2> ( ) as <name2> :	call the <name2> method on the value under the <name4> key of <name1> dictionary , preform following <name6> return value named <name2> ,
"<name3> . execute ( ""SELECT cache_key, value, expires FROM %s "" ""WHERE cache_key = %%s"" % table , [ key ] )"	"call the method <name3> .execute with string ""SELECT cache_key, value, expires FROM %s WHERE cache_key = %%s"" as argument ,"
<name5> = <name1> . fetchone ( )	substitute the '%s' with table and list containing key , respectively . call the <name1> .fetchone method , substitute the result for <name5> .
<name3> <name4> <name1> <name6> :	<name3> <name4> <name1> <name6> ,
<name1> <name6>	<name1> <name6> .
<name4> = <name2> . <name4> ( )	call the <name2> .now function , substitute the result for <name4> .
<name4> = <name2> [ 2 ]	substitute third element of <name2> list for <name4> .
<name5> <name6> [ <name2> ] . <name1> . needs_datetime_string_cast and not isinstance ( expires , datetime ) :	<name5> <name1> .needs_datetime_string_cast field of the object represented stored under the <name2> key of <name6> dictionary is true ,
<name5> = <name3> ( str ( <name5> ) )	and <name5> is not an instance of datetime . convert <name5> to a string , use it as argument for the call to the function <name3> , substitute the result for <name5> .
<name4> <name3> <  <name5> :	<name4> <name3> is lesser than <name5> ,
<name6> = <name2> . db_for_write ( <name4> . cache_model_class )	call the method <name2> .db_for_write with argument <name4> .cache_model_class , substitute the result for <name6> .
<name6> <name3> [ <name4> ] . <name5> ( ) as <name5> :	call the <name5> method on the value under the <name4> key of <name3> dictionary , preform following <name6> return value named <name5> ,
"<name3> . execute ( ""DELETE FROM %s "" ""WHERE cache_key = %%s"" % table , [ key ] )"	"call the method <name3> .execute with string ""DELETE FROM %s WHERE cache_key = %%s"" as argument ,"
<name4> <name3>	substitute the '%s' with table and list containing key , respectively . <name4> <name3> .
<name6> = <name5> [ <name1> ] . <name4> . process_clob ( <name2> [ 1 ] )	call the method <name4> .process_clob with second element of <name2> as argument , on the object under the <name1> key of <name5> dictionary , substitute the result for <name6> .
return pickle . loads ( <name1> . b64decode ( <name5> ( <name4> ) ) )	call the function <name5> with argument <name4> , use the result as an argument for the call to the method <name1> .b64decode ,
def <name3> ( <name1> , <name2> , <name4> , <name6> = <name5> , <name3> = <name1> ) :	use the result as the argument for the function call to the pickle .loads , return the result . define the method <name3> with 5 arguments , <name1> class instance , <name2> , <name4> , <name6> <name3> to <name5> and <name3> <name3> to <name1> .
<name1> = <name2> . make_key ( <name1> , <name4> = <name4> )	call the method <name2> .make_key with <name1> and <name4> set to <name4> as arguments , substitute the result for <name1> .
<name5> . validate_key ( <name1> )	call the method <name5> .validate_key with <name1> as argument .
<name5> . _base_set ( <val4>   , <name3> , <name6> , <name2> )	call the method <name5> ._base_set with string <val4> , <name3> , <name6> and <name2> as arguments .
def <name3> ( <name4> , <name2> , <name6> , <name1> = <name5> , <name3> = <name4> ) :	define the method <name3> with 5 arguments , <name4> class instance , <name2> , <name6> , <name1> set to <name5> and <name3> set to <name4> .
<name5> = <name6> . make_key ( <name5> , <name1> = <name1> )	call the method <name6> .make_key with <name5> and <name1> set to <name1> as arguments , substitute the result for <name5> .
<name2> . validate_key ( <name6> )	call the method <name2> .validate_key with <name6> as argument .
<name2> <name5> . _base_set ( <val3>   , <name6> , <name1> , <name4> )	call the method <name5> ._base_set with string <val3> , <name6> , <name1> and <name4> as arguments , <name2> the result .
def <name6> ( <name3> , mode , <name1> , <name5> , <name4> = <name2> ) :	define the protected method <name6> with 4 arguments , <name3> class instance , <name1> , <name5> and <name4> set to <name2> .
<name2> = <name1> . get_backend_timeout ( <name2> )	call the method <name1> .get_backend_timeout with argument <name2> , substitute the result for <name2> .
<name6> = <name4> . db_for_write ( <name1> . cache_model_class )	call the method <name4> .db_for_write with argument <name1> .cache_model_class , substitute the result for <name6> .
<name6> = <name3> [ <name2> ] . <name5> . quote_name ( <name1> . _table )	call the <name5> .quote_name method with argument <name1> ._table on the object under the <name2> key of <name3> dictionary , substitute the result for <name6> .
<name6> <name3> [ <name4> ] . <name2> ( ) as <name2> :	call the <name2> method on the value under the <name4> key of <name3> dictionary , preform following <name6> return value named <name2> ,
<name3> . execute ( <val1> % <name6> )	call the method <name3> .execute with string <val1> as argument , substitute the '%s' with <name6> .
<name2> = <name6> . fetchone ( ) [ 0 ]	fetch one record from the database <name6> points at , substitute the first element of return value for <name2> .
<name6> = <name3> . <name6> ( )	call the <name3> .now function , substitute the result for <name6> .
<name4> = <name4> . replace ( microsecond = <val5> )	call the function <name4> .replace with microseconds set to integer <val5> , substitute the result for <name4> .
<name2> <name6> <name4> <name1> :	<name2> <name6> <name4> <name1> ,
<name6> = <name2> . max	substitute the <name2> .max for <name6> .
elif <name6> . USE_TZ :	otherwise is <name6> .USE_TI is true ,
<name1> = <name4> . utcfromtimestamp ( <name5> )	call the function <name4> .utcfromtimestamp with argument <name5> , substitute it for <name1> .
else :	if not ,
<name6> = <name1> . fromtimestamp ( <name5> )	call the function <name1> .fromtimestamp with argument <name5> , substitute it for <name6> .
<name5> = <name5> . replace ( <name6> = <val3> )	call the <name5> .replace with <name6> set to integer <val3> , substitute the result for <name5> .
<name5> <name1> >  <name6> . _max_entries :	<name5> <name1> is greater than <name6> ._max_entries ,
<name1> . _cull ( <name2> , <name6> , <name4> )	call the method <name1> ._cull with <name2> , <name6> and <name4> as arguments .
<name1> = <name6> . dumps ( <name4> , <name6> . HIGHEST_PROTOCOL )	call the method <name6> .dumps with <name4> and <name6> .HIGHEST_PROTOCOL as arguments , substitute it for <name1> .
<name1> = <name4> . b64encode ( <name3> )	call the method <name4> .b64encode with argument <name3> , substitute the result for <name1> .
<name2> <name1> . PY3 :	<name2> <name1> .PY3 is true ,
<name2> = <name2> . decode ( <val5>   )	call the method <name2> .decode with string <val5> as argument , substitute the result for <name2> .
<name4> :	<name4> ,
<name4> <name3> . atomic ( <name1> = <name2> ) :	<name4> return value of the function <name3> .atomic <name4> <name1> set to <name2> as arguments , perform the following ,
"<name1> . execute ( ""SELECT cache_key, expires FROM %s "" ""WHERE cache_key = %%s"" % table , [ key ] )"	"call the method <name1> .execute with string ""SELECT cache_key, expires FROM %s WHERE cache_key = %%s"" as argument ,"
<name5> = <name6> . fetchone ( )	substitute the '%s' with table and list containing key , respectively . fetch one entry from the database that <name6> points at , substitute it for the <name5> .
<name5> <name1> :	<name5> <name1> is true ,
     <name2> = <name3> [ 1 ]	substitute the second element of <name3> for <name2> .
