print ( <val3> )	<val3> とプリントする
if <name5> % 2 != 0 :	もし偶数かどう <name5> がでないならば
<name4> % 2 == 0 and	<name4> が偶数、かつ、
<name5> % 2 == 0 or	<name5> が偶数、もしくは、
<name5> % 2 == 0 and	偶数かどう <name5> が、かつ、
<name3> % 2 == 0 or	偶数かどう <name3> が、または、
<name6> % 2 != 0 and	<name6> が偶数でない、かつ、
<name5> % 2 != 0 or	<name5> が偶数でない、または、
<name2> % 2 != 0 and	偶数かどう <name2> がでない、かつ、
<name6> % 2 != 0 or	偶数かどう <name6> がでない、または、
while <name5> % 2 == 0 :	<name5> が偶数の間
while <name2> % 2 == 0 :	偶数かどう <name2> がの間
<name6> % 2 == 1	<name6> が奇数かどうか
<name3> % 2 == 1	奇数かどう <name3> がか
if <name6> % 2 == 1 :	もし <name6> が奇数なら
if <name5> % 2 == 1 :	もし奇数かどう <name5> がのとき
if <name5> % 2 != 1 :	もし <name5> が奇数でないならば
if <name1> % 2 != 1 :	もし奇数かどう <name1> がでないとき
<name6> % 2 == 1 and	<name6> が奇数、かつ、
<name2> % 2 == 1 or	<name2> が奇数、または、
<name5> % 2 == 1 and	奇数かどう <name5> が、かつ、
<name3> % 2 == 1 or	奇数かどう <name3> が、もしくは、
<name6> % 2 != 1 and	<name6> が奇数でない、かつ、
<name4> % 2 != 1 or	<name4> が奇数でない、もしくは、
<name4> % 2 != 1 and	奇数かどう <name4> がでない、かつ、
<name4> % 2 != 1 or	奇数かどう <name4> がでない、または、
while <name3> % 2 == 1 :	<name3> が奇数の間
while <name6> % 2 == 1 :	奇数かどう <name6> がの間
<name2> % <name3> == 0	<name2> が <name3> の倍数かどうか
<name6> % <name3> == 0	<name3> の倍数かどう <name6> がか
if <name3> % <name1> == 0 :	もし <name3> が <name1> の倍数のとき
if <name3> % <name4> == 0 :	もし <name4> の倍数かどう <name3> がの場合
if <name3> % <name4> != 0 :	もし <name3> が <name4> の倍数でないならば
if <name3> % <name4> != 0 :	もし <name4> の倍数かどう <name3> がでないとき
<name5> % <name1> == 0 and	<name5> が <name1> の倍数、かつ、
<name5> % <name2> == 0 or	<name5> が <name2> の倍数、もしくは、
<name4> % <name1> == 0 and	<name1> の倍数かどう <name4> が、かつ、
<name1> % <name6> == 0 or	<name6> の倍数かどう <name1> が、または、
<name6> % <name2> != 0 and	<name6> が <name2> の倍数でない、かつ、
<name2> % <name5> != 0 or	<name2> が <name5> の倍数でない、または、
<name4> % <name6> != 0 and	<name6> の倍数かどう <name4> がでない、かつ、
<name2> % <name4> != 0 or	<name4> の倍数かどう <name2> がでない、または、
while <name5> % <name2> == 0 :	<name5> が <name2> の倍数の間
while <name3> % <name6> == 0 :	<name6> の倍数かどう <name3> がの間
<name6> % <name1> == 0	<name6> が <name1> で割り切れるかどうか
<name4> % <name2> == 0	<name2> で割り切れるかどう <name4> がか
if <name5> % <name1> == 0 :	<name5> が <name1> で割り切れるなら
if <name6> % <name2> == 0 :	もし <name2> で割り切れるかどう <name6> がならば
if <name3> % <name1> != 0 :	<name3> が <name1> で割り切れるでないならば
if <name3> % <name6> != 0 :	もし <name6> で割り切れるかどう <name3> がでないとき
<name5> % <name1> == 0 and	<name5> が <name1> で割り切れる、かつ、
<name4> % <name3> == 0 or	<name4> が <name3> で割り切れる、または、
<name2> % <name4> == 0 and	<name4> で割り切れるかどう <name2> が、かつ、
<name1> % <name2> == 0 or	<name2> で割り切れるかどう <name1> が、または、
<name2> % <name5> != 0 and	<name2> が <name5> で割り切れるでない、かつ、
<name1> % <name4> != 0 or	<name1> が <name4> で割り切れるでない、または、
<name3> % <name4> != 0 and	<name4> で割り切れるかどう <name3> がでない、かつ、
<name1> % <name4> != 0 or	<name4> で割り切れるかどう <name1> がでない、または、
while <name2> % <name3> == 0 :	<name2> が <name3> で割り切れるの間
while <name4> % <name2> == 0 :	<name2> で割り切れるかどう <name4> がの間
pass	何もしない
pass	パスする
quit ( )	プログラムの実行を途中で終了する
quit ( )	プログラムの実行を終了する
quit ( )	プログラムの実行を中断する
True	真
False	偽
if <name6> <  <val5> or <name6> >= <val1> :	もし <name6> が <val5> 未満または <val1> 以上のとき
if <name3> <  <val2> or <name3> >= <val5> :	<name3> が <val2> 未満もしくは <val5> 以上のとき
if age <  <val5> or age >= <val4> :	もし <val5> 才未満または <val4> 才以上のとき
if <name6> <  <val2> and <name6> >= <val5> :	もし <name6> が <val2> 未満かつ <val5> 以上のとき
if <name6> <  <val4> and <name6> >= <val5> :	<name6> がもし <val4> 未満かつ <val5> 以上のとき
weight / ( height / 100 ) ** 2	BMI を求めたい
weight / ( height / 100 ) ** 2	BMI を求めたいを計算する
<name3> / ( <name1> / 100 ) ** 2	<name3> と <name1> から BMI
<name1> / ( <name3> / 100 ) ** 2	<name1> 体重と <name3> 身長から BMI
<name4> / ( <name6> / 100 ) ** 2	体重 <name4> と身長 <name6> から BMI
<name2> / ( <name1> / 100 ) ** 2	<name2> と <name1> から BMI を算出する
<name3> / ( <name6> / 100 ) ** 2	<name3> 体重と <name6> 身長から BMI を求める
<name1> / ( <name5> / 100 ) ** 2	体重 <name1> と身長 <name5> から BMI を求める
<name2> / ( <name6> / 100 ) ** 2	<name6> と <name2> から BMI
<name3> / ( <name4> / 100 ) ** 2	身長 <name4> と体重 <name3> から BMI
<name5> / ( <name4> / 100 ) ** 2	<name4> 身長と <name5> 体重から BMI
<name1> / ( <name6> / 100 ) ** 2	<name6> と <name1> から BMI を算出する
<name3> / ( <name6> / 100 ) ** 2	<name6> 身長と <name3> 体重から BMI を求める
<name5> / ( <name4> / 100 ) ** 2	身長 <name4> と体重 <name5> から BMI を求める
random . randint ( 1 , 6 )	サイコロの出目
random . randint ( 1 , 6 )	サイコロの目
random . randint ( 1 , 6 )	サイコロを振った出目
random . randint ( 1 , 6 )	サイコロを振った目
random . randint ( 1 , 6 )	サイコロを振った値
random . randint ( <val2> , <val5> )	<val2> から <val5> までの乱数
time . sleep ( <val5> )	<val5> 秒間、プログラムの実行を停止する
time . sleep ( <val2> )	<val2> 秒、プログラムの実行を停止する
time . sleep ( <val1> )	<val1> 秒間、待つ
time . sleep ( <val6> )	<val6> 秒、待つ
time . sleep ( <val1> )	<val1> 秒間、止める
time . sleep ( <val1> )	<val1> 秒、止める
while True : pass	無限ループ
while True : pass	とりあえず繰り返す
for i in range ( 5 ) :	５回繰り返す
break	繰り返しを中断する
break	繰り返しから強制的に抜け出す
break	繰り返しから抜け出す
continue	繰り返しの先頭に戻る
continue	もう一度、繰り返す
continue	もう一回、繰り返す
[ 0 ] * <name1>	大きさ <name1> の配列
for a in [ <val5> , <val4> , <val6> ] :	リスト [ <val5> , <val4> , <val6> ] の各要素を処理する
for <name1> in [ <val5> , <val2> , <val6> ] :	リスト [ <val5> , <val2> , <val6> ] の要素を繰り返すたびに <name1> に代入する
for <name1> in [ <val5> , <val6> , <val2> ] :	リスト [ <val5> , <val6> , <val2> ] の要素を <name1> に繰り返すたびに代入する
for <name3> in [ <val1> , <val2> , <val4> ] :	繰り返すたびにリスト [ <val1> , <val2> , <val4> ] の要素を <name3> に代入する
<name3> . append ( <name5> )	<name3> の末尾に <name5> を追加する
<name2> . append ( <name6> )	<name6> をリスト <name2> の末尾に追加する
<name5> . append ( <name3> )	<name5> リストの末尾に <name3> を追加する
del ( <name1> [ <val6> ] )	<name1> から <val6> 番目の値を削除する
del ( <name2> [ <val1> ] )	<name2> リストから <val1> 番目の値を削除する
del ( <name3> [ <val5> ] )	<name3> リストから <val5> 番目の要素を削除する
<name6> [ start : end ]	<name6> の一部分を取り出す
<name6> [ start : end ]	リスト <name6> の一部分を取り出す
<name2> [ start : end ]	<name2> リストの一部分を取り出す
sum ( <name5> )	<name5> の合計値
sum ( <name6> )	<name6> の合計
sum ( <name6> )	リスト <name6> の合計
sum ( <name3> )	<name3> の総和
sum ( <name5> )	リスト <name5> の総和
sum ( <name6> )	<name6> リストの総和
sum ( <name6> ) / len ( <name6> )	<name6> の平均
sum ( <name2> ) / len ( <name2> )	<name2> リストの平均
sum ( <name1> ) / len ( <name1> )	リスト <name1> の平均
random . suffle ( <name6> )	<name6> をシャッフルする
random . suffle ( <name4> )	<name4> リストをシャッフルする
random . suffle ( <name6> )	リスト <name6> をシャッフルする
<name2> . keys ( )	<name2> のキーの一覧を得る
<name5> . keys ( )	<name5> 辞書のキーの一覧を得る
<name3> . keys ( )	辞書 <name3> のキーの一覧を得る
<name2> . keys ( )	<name2> のキーの一覧
<name2> . keys ( )	<name2> 辞書のキーの一覧
<name1> . keys ( )	辞書 <name1> のキーの一覧
<name2> [ <name4> ]	<name2> のキー <name4> のデータを参照する
<name3> [ <name4> ]	辞書 <name3> のキー <name4> の値を参照する
<name4> [ <name3> ]	<name4> のキー <name3> のを参照する
<name3> [ <name5> ]	<name3> のキー <name5> の値
<name5> [ <name2> ]	<name5> のキー <name2> のデータ
<name3> [ <name1> ]	<name3> 辞書のキー <name1> の
for key in <name5> . keys ( ) : value = <name5> [ key ]	<name5> に入っているデータを一つずつ処理する
for key in <name4> . keys ( ) : value = <name4> [ key ]	辞書 <name4> に入っているデータを一つずつ処理する
for key in <name1> . keys ( ) : value = <name1> [ key ]	<name1> 辞書に入っているデータを一つずつ処理する
math . ceil ( <name1> )	実数 <name1> の小数点以下を切り上げる
math . ceil ( <name6> )	<name6> の小数点以下を切り上げた整数
<name2> in <name3>	<name3> に <name2> があるかどうか
<name5> in <name6>	辞書 <name6> にあるかどうキー <name5> がか
<name5> in <name3>	<name5> が <name3> にあるかどうか
<name2> not in date	d にキー <name2> がないかどうか
<name4> not in date	辞書 d にキー <name4> が含まれていないかどうか
<name3> not in date	キー <name3> が存在しないかどう d 辞書にか
<name4> . strip ( )	<name4> の前後の空白を除去する
<name5> . strip ( )	文字列 <name5> の前後の空白を除去する
<name1> . strip ( )	<name1> の前後の空白を取り除く
<name6> . strip ( )	<name6> の余分な改行を除去する
<name1> . strip ( )	<name1> 文字列の余分な改行を取り除く
<name3> . strip ( )	文字列 <name3> の改行を除去する
<name3> . split ( <val5> )	<name3> を <val5> で区切る
<name2> . split ( <val1> )	<val1> で <name2> 文字列を分割する
<name2> . split ( <val5> )	文字列 <name2> を <val5> で分割する
<name6> . split ( ',' )	<name6> をカンマで区切った文字列のリスト
<name2> . split ( <val5> )	文字列 <name2> を <val5> で区切った文字列のリスト
<name1> . split ( ',' )	文字列 <name1> をカンマで区切った文字列のリスト
sorted ( <name3> )	<name3> を昇順にソートする
sorted ( <name2> )	<name2> を小さい順に並べ直す
sorted ( <name4> )	<name4> を小さい順に並べる
sorted ( <name4> )	<name4> を昇順にソートした列
sorted ( <name4> )	昇順に <name4> を並べ直した列
sorted ( <name6> )	昇順に <name6> を整列した列
sorted ( <name4> , reverse = True )	<name4> を降順にソートする
sorted ( <name6> , reverse = True )	<name6> を逆順にソートする
sorted ( <name3> , reverse = True )	<name3> を大きい順にソートする
sorted ( <name2> , reverse = True )	<name2> を降順にソートした列
sorted ( <name4> , reverse = True )	降順に <name4> をソートした列
datetime . date . today ( )	プログラムを実行した日付
datetime . date . today ( )	本日の日付
datetime . date . today ( )	今日の日付
datetime . date . today ( ) . year	プログラムを実行した年
datetime . date . today ( ) . year	本日の年
datetime . date . today ( ) . year	今日の年
datetime . date . today ( ) . month	プログラムを実行した月
datetime . date . today ( ) . month	本日の月
datetime . date . today ( ) . month	今日の月
datetime . date . today ( ) . day	プログラムを実行した日
datetime . date . today ( ) . day	本日の日
datetime . date . today ( ) . day	今日の日
<name4> . year	<name4> の年
. year	の年
<name5> . month	<name5> の月
. month	その月
<name3> . day	<name3> の日
. day	の日
datetime . datetime . now ( )	Python を実行したエポックタイム
datetime . datetime . now ( )	プログラムを実行したエポック
datetime . datetime . now ( )	Python を実行したエポック
datetime . datetime . now ( )	本日のタイムスタンプ
datetime . datetime . now ( )	本日のエポック
datetime . datetime . now ( )	今日のエポックタイム
sns . set ( font = 'IPAexGothic' , style = 'white' )	グラフ中で日本語を表示できるようにする
sns . set ( font = 'IPAexGothic' , style = 'white' )	グラフの中で表示できるように日本語をする
sns . set ( font = 'IPAexGothic' , style = 'white' )	日本語を表示できるようにグラフの中でする
sns . set ( font = 'IPAexGothic' , style = 'white' )	グラフの日本語表示を有効にする
sns . set ( font = 'IPAexGothic' , style = 'white' )	グラフの日本語表示をできるようにする
sns . set ( font = 'IPAexGothic' , style = 'white' )	グラフの日本語フォントを有効にする
sns . set ( font = 'IPAexGothic' , style = 'white' )	グラフ内のフォントを日本語表示に設定する
sns . set ( font = 'IPAexGothic' , style = 'white' )	日本語にグラフ内のフォントをする
sns . set ( font = 'IPAexGothic' , style = 'white' )	グラフのフォントを日本語に変更する
plt . title ( <val3> )	グラフのタイトルを <val3> に設定する
plt . title ( <val1> )	グラフタイトルを <val1> にする
plt . title ( <val4> )	グラフの名前を <val4> に指定する
plt . figure ( figsize = ( <val4> , <val5> ) )	出力するグラフの大きさを <val4> × <val5> に設定する
plt . figure ( figsize = ( <val3> , <val6> ) )	出力するグラフのサイズを <val3> × <val6> に設定する
plt . figure ( figsize = ( <val4> , <val3> ) )	出力するグラフの大きさを <val4> × <val3> に指定する
plt . xlabel ( <val2> )	x 座標の軸ラベルを <val2> に設定する
plt . xlabel ( <val1> )	<val1> に x 軸のラベルを指定する
plt . xlabel ( <val3> )	x 軸のラベルを <val3> に設定する
plt . xlabel ( <val2> )	横軸に <val2> という軸ラベルを付ける
plt . xlabel ( <val3> )	<val3> という軸ラベルを横軸につける
plt . xlabel ( <val6> )	<val6> という軸名を x 座標に加える
plt . ylabel ( <val2> )	y 座標の軸ラベルを <val2> に設定する
plt . ylabel ( <val4> )	グラフの y 軸の軸ラベルを <val4> に設定する
plt . ylabel ( <val4> )	y 座標の軸名を <val4> にする
plt . ylabel ( <val2> )	縦軸に <val2> という軸ラベルを付ける
plt . ylabel ( <val5> )	<val5> という軸名を y 座標に付与する
plt . ylabel ( <val2> )	<val2> という軸の名前をグラフの y 軸に加える
plt . grid ( True )	グラフにメモリを表示する
plt . grid ( True )	グラフにグリッド線を追加する
plt . grid ( True )	グリッド線をグラフにつける
plt . legend ( )	グラフ内に凡例を入れる
plt . legend ( )	グラフ内に凡例を表示する
plt . legend ( )	グラフ内に凡例を描く
plt . legend ( loc = 'best' )	最適な位置に凡例を入れる
plt . legend ( loc = 'best' )	凡例を最も適切な位置に加える
plt . legend ( loc = 'best' )	グラフに被らない位置に凡例を表示する
plt . subplot ( <name1> , <name5> , <val6> )	<name1> 行 <name5> 列の <val6> つ目のグラフ指定
plt . scatter ( <name1> , <name6> )	<name1> と <name6> の散布図を描写する
plt . scatter ( <name1> , <name5> )	<name1> と <name5> の散布図を表示する
plt . scatter ( <name1> , <name2> )	<name1> と <name2> の散布図を出力する
plt . scatter ( X , Y )	X を縦軸 Y を横軸として散布図をプロットする
plt . scatter ( <name4> , <name1> )	散布図を x 座標として <name4> を y 座標 <name1> を表示する
plt . scatter ( X , Y )	X を散布図を縦軸 Y を横軸としてプロットする
plt . scatter ( <name6> , <name3> )	<name6> と <name3> を散布図でプロットする
plt . scatter ( <name1> , <name5> )	<name1> と <name5> を散布図で表示する
plt . scatter ( <name4> , <name1> )	<name4> と <name1> を散布図で描写する
plt . plot ( <name6> , <name3> )	<name6> と <name3> の折れ線グラフをプロットする
plt . plot ( <name5> , <name6> )	<name5> と <name6> のグラフを出力する
plt . plot ( <name1> , <name6> )	<name1> と <name6> のグラフをプロットする
plt . plot ( <name1> , <name5> )	<name1> と <name5> を折れ線グラフでプロットする
plt . plot ( <name5> , <name1> )	<name5> と <name1> をグラフで表示する
plt . plot ( <name3> , <name1> )	<name3> と <name1> を折れ線グラフで出力する
plt . plot ( X , Y )	X を縦軸 Y を横軸として、折れ線グラフをプロットする
plt . plot ( <name5> , <name2> )	<name5> を x 軸と設定して、折れ線グラフを y 軸 <name2> を出力する
plt . plot ( <name5> , <name2> )	<name5> を y 座標 <name2> を x 座標と指定して、グラフを表示する
plt . plot ( <name3> , <name1> , label = <val5> )	<name3> と <name1> の折れ線グラフを <val5> とラベル付けしてプロットする
plt . plot ( <name2> , <name3> , label = <val1> )	<name2> と <name3> のグラフを <val1> とラベル付けして表示する
plt . plot ( <name1> , <name5> , label = <val4> )	<name1> と <name5> のグラフを <val4> とラベル付けして描写する
plt . plot ( <name3> , <name6> , label = <val1> )	<name3> と <name6> の折れ線グラフを <val1> と軸ラベルを付けてプロットする
plt . plot ( <name2> , <name6> , label = <val1> )	<name2> と <name6> のグラフを <val1> と軸の名前をつけて描写する
plt . plot ( <name2> , <name3> , label = <val6> )	<val6> と軸ラベルを <name2> と <name3> の折れ線グラフをつけてプロットする
plt . plot ( <name1> , <name5> , label = <val2> )	<name1> と <name5> を <val2> とラベル付けされた折れ線グラフでプロットする
plt . plot ( <name4> , <name1> , label = <val2> )	<name4> と <name1> を <val2> とラベル付けされたグラフで描写する
plt . plot ( <name3> , <name2> , label = <val1> )	<name3> と <name2> を <val1> とラベル付けされた折れ線グラフで出力する
plt . plot ( <name1> , <name4> , color = '	<name1> と <name4> の折れ線グラフを
plt . plot ( <name5> , <name6> , color = '	<name5> と <name6> のグラフを
plt . plot ( <name2> , <name3> , color = '	<name2> と <name3> を'
plt . plot ( <name6> , <name5> , color = <name4> )	<name6> と <name5> の折れ線グラフを <name4> でプロットする
plt . plot ( <name5> , <name4> , color = c )	cRGB で <name5> と <name4> のグラフを描写する
plt . plot ( <name3> , <name2> , color = c )	RGBc で <name3> と <name2> のグラフを描写する
plt . plot ( <name3> , <name6> , color = <name5> )	<name3> と <name6> を <name5> 色の折れ線グラフでプロットする
