print ( <val2> )	<val2> とプリントする
random . randint ( 1 , 6 )	サイコロを振った目
random . randint ( 1 , 6 )	サイコロを振った値
random . randint ( 1 , 6 )	サイコロを振った出目
random . randint ( <val5> , <val6> )	<val5> から <val6> までの乱数
time . sleep ( <val3> )	<val3> 秒、プログラムの実行を停止する
time . sleep ( <val3> )	<val3> 秒間、プログラムの実行を停止する
time . sleep ( <val3> )	<val3> 秒、待つ
time . sleep ( <val3> )	<val3> 秒間、待つ
time . sleep ( <val2> )	<val2> 秒、止める
time . sleep ( <val5> )	<val5> 秒間、止める
while True : pass	無限ループ
while True : pass	とりあえず繰り返す
for i in range ( 5 ) :	５回繰り返す
break	繰り返しを中断する
break	繰り返しから強制的に抜け出す
break	繰り返しから抜け出す
continue	繰り返しの先頭に戻る
continue	もう一度、繰り返す
[ 0 ] * <name2>	大きさ <name2> の配列
for a in [ <val2> , <val6> , <val5> ] :	リスト [ <val2> , <val6> , <val5> ] の各要素を処理する
for <name4> in [ <val1> , <val6> , <val2> ] :	リスト [ <val1> , <val6> , <val2> ] の要素を繰り返すたびに <name4> に代入する
for <name5> in [ <val4> , <val2> , <val3> ] :	<name5> に繰り返すたびにリスト [ <val4> , <val2> , <val3> ] の要素を代入する
for <name6> in [ <val3> , <val2> , <val1> ] :	リスト [ <val3> , <val2> , <val1> ] の要素を <name6> に繰り返すたびに代入する
<name3> . append ( <name6> )	<name3> の末尾に <name6> を追加する
<name1> . append ( <name6> )	<name1> リストの末尾に <name6> を追加する
<name5> . append ( <name3> )	<name3> をリスト <name5> の末尾に追加する
del ( <name2> [ <val5> ] )	<name2> から <val5> 番目の要素を削除する
del ( <name2> [ <val6> ] )	リスト <name2> から <val6> 番目の値を削除する
del ( <name1> [ <val5> ] )	<name1> リストから <val5> 番目の要素を削除する
<name3> [ start : end ]	<name3> の一部分を取り出す
<name6> [ start : end ]	リスト <name6> の一部分を取り出す
<name1> [ start : end ]	<name1> リストの一部分を取り出す
sum ( <name1> )	<name1> の合計値
sum ( <name1> )	<name1> の合計
sum ( <name6> )	<name6> リストの合計
sum ( <name6> )	<name6> の総和
sum ( <name2> )	<name2> リストの総和
sum ( <name4> )	リスト <name4> の総和
sum ( <name4> ) / len ( <name4> )	<name4> の平均値
sum ( <name6> ) / len ( <name6> )	<name6> リストの平均
sum ( <name4> ) / len ( <name4> )	リスト <name4> の平均
random . suffle ( <name6> )	<name6> をシャッフルする
random . suffle ( <name1> )	リスト <name1> をシャッフルする
random . suffle ( <name2> )	<name2> リストをシャッフルする
<name4> . keys ( )	<name4> のキーの一覧を得る
<name5> . keys ( )	辞書 <name5> のキーの一覧を得る
<name3> . keys ( )	<name3> 辞書のキーの一覧を得る
<name4> . keys ( )	<name4> のキーの一覧
<name3> . keys ( )	<name3> 辞書のキーの一覧
<name1> . keys ( )	辞書 <name1> のキーの一覧
<name1> [ <name4> ]	<name1> のキー <name4> のを参照する
<name6> [ <name4> ]	<name6> のキー <name4> のデータを参照する
<name5> [ <name6> ]	辞書 <name5> のキー <name6> のを参照する
<name6> [ <name3> ]	<name6> のキー <name3> のデータ
<name6> [ <name5> ]	<name6> のキー <name5> の
<name4> [ <name1> ]	辞書 <name4> のキー <name1> の値
for key in <name3> . keys ( ) : value = <name3> [ key ]	<name3> に入っているデータを一つずつ処理する
for key in <name4> . keys ( ) : value = <name4> [ key ]	辞書 <name4> に入っているを処理する
for key in <name3> . keys ( ) : value = <name3> [ key ]	入っているを <name3> に処理する
math . ceil ( <name6> )	実数 <name6> の小数点以下を切り上げる
math . ceil ( <name5> )	<name5> の小数点以下を切り上げた整数
<name2> in <name1>	<name1> に <name2> があるかどうか
<name3> in <name6>	あるかどう <name6> 辞書に <name3> キーがか
<name3> in <name2>	<name2> にあるかどう <name3> がか
<name2> not in date	d にキー <name2> がないかどうか
<name5> not in date	キー <name5> が辞書 d に含まれていないかどうか
<name4> not in date	d に含まれていないかどうキー <name4> がか
<name6> . strip ( )	<name6> の前後の空白を取り除く
<name5> . strip ( )	文字列 <name5> の前後の空白を取り除く
<name5> . strip ( )	<name5> 文字列の前後の空白を除去する
<name4> . strip ( )	<name4> の余分な改行を除去する
<name6> . strip ( )	<name6> 文字列の改行を除去する
<name4> . strip ( )	<name4> 文字列の余分な改行を除去する
<name1> . split ( ',' )	<name1> をカンマで区切る
<name1> . split ( <val6> )	文字列 <name1> を <val6> で分割する
<name5> . split ( <val6> )	<val6> で <name5> 文字列を分割する
<name5> . split ( ',' )	<name5> をカンマで区切った文字列のリスト
<name6> . split ( <val4> )	<name6> を <val4> で分割した文字列のリスト
<name4> . split ( ',' )	<name4> をカンマで分割した文字列のリスト
sorted ( <name5> )	<name5> を昇順にソートする
sorted ( <name3> )	<name3> を昇順に並べる
sorted ( <name2> )	<name2> を昇順に整列する
sorted ( <name6> )	<name6> を昇順にソートした列
sorted ( <name6> )	<name6> を昇順に並べ替えた列
sorted ( <name4> )	昇順に <name4> を並べ替えた列
sorted ( <name6> , reverse = True )	<name6> を降順にソートする
sorted ( <name1> , reverse = True )	<name1> を大きい順にソートする
sorted ( <name5> , reverse = True )	<name5> を逆順にソートする
sorted ( <name6> , reverse = True )	<name6> を降順にソートした列
sorted ( <name1> , reverse = True )	降順に <name1> をソートした列
datetime . date . today ( )	プログラムを実行した日付
datetime . date . today ( )	今日の日付
datetime . date . today ( )	本日の日付
datetime . date . today ( ) . year	プログラムを実行した年
datetime . date . today ( ) . year	本日の年
datetime . date . today ( ) . year	今日の年
datetime . date . today ( ) . month	プログラムを実行した月
datetime . date . today ( ) . month	本日の月
datetime . date . today ( ) . month	今日の月
datetime . date . today ( ) . day	プログラムを実行した日
datetime . date . today ( ) . day	本日の日
datetime . date . today ( ) . day	今日の日
<name5> . year	<name5> の年
<name6> . month	<name6> の月
<name2> . day	<name2> の日
datetime . datetime . now ( )	Python を実行したタイムスタンプ
datetime . datetime . now ( )	プログラムを実行したエポック
datetime . datetime . now ( )	プログラムを実行したエポックタイム
datetime . datetime . now ( )	本日のタイムスタンプ
datetime . datetime . now ( )	今日のエポックタイム
datetime . datetime . now ( )	今日のエポック秒
sns . set ( font = 'IPAexGothic' , style = 'white' )	グラフの中で日本語を表示できるようにする
sns . set ( font = 'IPAexGothic' , style = 'white' )	グラフ内で表示できるように日本語をする
sns . set ( font = 'IPAexGothic' , style = 'white' )	表示できるようにグラフの中で日本語をする
sns . set ( font = 'IPAexGothic' , style = 'white' )	グラフの日本語表示を有効にする
sns . set ( font = 'IPAexGothic' , style = 'white' )	グラフの日本語フォントを有効にする
sns . set ( font = 'IPAexGothic' , style = 'white' )	グラフの日本語表示をできるようにする
sns . set ( font = 'IPAexGothic' , style = 'white' )	グラフフォントを日本語に変更する
sns . set ( font = 'IPAexGothic' , style = 'white' )	日本語にグラフ内のフォントをする
sns . set ( font = 'IPAexGothic' , style = 'white' )	グラフのフォントを日本語表示に変更する
plt . title ( <val1> )	グラフのタイトルを <val1> に設定する
plt . title ( <val6> )	グラフの名前を <val6> にする
plt . title ( <val2> )	<val2> にグラフの名前をセットする
plt . figure ( figsize = ( <val4> , <val5> ) )	描画するグラフのサイズを横 <val4> 縦 <val5> に設定する
plt . figure ( figsize = ( <val2> , <val3> ) )	表示するグラフのサイズを縦 <val3> 横 <val2> に設定する
plt . figure ( figsize = ( <val4> , <val5> ) )	表示するグラフのサイズを <val4> × <val5> に設定する
plt . xlabel ( <val6> )	x 軸の軸名を <val6> に設定する
plt . xlabel ( <val5> )	x 軸のラベルを <val5> に指定する
plt . xlabel ( <val2> )	<val2> にグラフの x 軸の軸の名前を指定する
plt . xlabel ( <val5> )	横軸に <val5> という軸ラベルを追加する
plt . xlabel ( <val6> )	<val6> というラベルを x 軸につける
plt . xlabel ( <val2> )	横軸に <val2> という軸ラベルを付与する
plt . ylabel ( <val4> )	縦軸の軸ラベルを <val4> に設定する
plt . ylabel ( <val3> )	y 軸の軸ラベルを <val3> に設定する
plt . ylabel ( <val5> )	<val5> にグラフの y 軸のラベルをセットする
plt . ylabel ( <val4> )	縦軸に <val4> という軸ラベルを付ける
plt . ylabel ( <val4> )	グラフの y 軸に <val4> という軸の名前を加える
plt . ylabel ( <val2> )	グラフの y 軸に <val2> という軸の名前を付与する
plt . grid ( True )	グラフにグリッドを追加する
plt . grid ( True )	グラフにメモリを追加する
plt . grid ( True )	グラフにグリッド線をつける
plt . legend ( )	グラフ内に凡例を入れる
plt . legend ( )	凡例をグラフ内に入れる
plt . legend ( )	凡例をグラフ内に加える
plt . legend ( loc = 'best' )	最適な位置に凡例を入れる
plt . legend ( loc = 'best' )	凡例を最適な位置に表示する
plt . legend ( loc = 'best' )	最も適切な位置に凡例を表示する
plt . subplot ( <name4> , <name5> , <val6> )	<name4> 行 <name5> 列の <val6> つ目のグラフ指定
plt . scatter ( <name2> , <name5> )	<name2> と <name5> の散布図を表示する
plt . scatter ( <name6> , <name3> )	<name6> と <name3> の散布図を描写する
plt . scatter ( <name6> , <name4> )	<name6> と <name4> の散布図を描画する
plt . scatter ( X , Y )	X を縦軸 Y を横軸として散布図をプロットする
plt . scatter ( X , <name6> )	縦軸 <name6> を X を横軸として散布図をプロットする
plt . scatter ( <name5> , Y )	縦軸 Y を散布図を横軸として <name5> をプロットする
plt . scatter ( <name4> , <name2> )	<name4> と <name2> を散布図でプロットする
plt . scatter ( <name4> , <name5> )	<name4> と <name5> を散布図で描画する
plt . scatter ( <name4> , <name1> )	<name4> と <name1> を散布図で描写する
plt . plot ( <name2> , <name5> )	<name2> と <name5> のグラフをプロットする
plt . plot ( <name5> , <name3> )	<name5> と <name3> のグラフを描画する
plt . plot ( <name3> , <name1> )	<name3> と <name1> の折れ線グラフをプロットする
plt . plot ( <name3> , <name2> )	<name3> と <name2> を折れ線グラフでプロットする
plt . plot ( <name2> , <name4> )	<name2> と <name4> をグラフで描写する
plt . plot ( <name2> , <name4> )	<name2> と <name4> を折れ線グラフで描画する
plt . plot ( X , Y )	X を縦軸 Y を横軸として、折れ線グラフをプロットする
plt . plot ( <name4> , <name5> )	<name4> を y 軸 <name5> を x 軸と設定して、折れ線グラフを描画する
plt . plot ( <name4> , <name1> )	<name4> を x 軸と設定して、折れ線グラフを y 軸 <name1> を描画する
plt . plot ( <name6> , <name4> , label = <val2> )	<name6> と <name4> の折れ線グラフを <val2> とラベル付けしてプロットする
plt . plot ( <name2> , <name5> , label = <val4> )	<name2> と <name5> の折れ線グラフを <val4> とラベル付けして描画する
plt . plot ( <name2> , <name3> , label = <val6> )	<name2> と <name3> のグラフを <val6> とラベル付けして表示する
plt . plot ( <name2> , <name3> , label = <val5> )	<name2> と <name3> の折れ線グラフを <val5> と軸ラベルをつけてプロットする
plt . plot ( <name2> , <name3> , label = <val1> )	<val1> と軸名を <name2> と <name3> のグラフを付けて表示する
plt . plot ( <name1> , <name2> , label = <val3> )	<name1> と <name2> のグラフを <val3> と軸名をつけて表示する
plt . plot ( <name1> , <name5> , label = <val4> )	<name1> と <name5> を <val4> とラベル付けされた折れ線グラフでプロットする
plt . plot ( <name4> , <name1> , label = <val5> )	<name4> と <name1> を <val5> とラベル付けされたグラフで描写する
plt . plot ( <name2> , <name3> , label = <val5> )	<name2> と <name3> を <val5> とラベル付けされた折れ線グラフで描画する
plt . plot ( <name4> , <name3> , color = '	<name4> と <name3> の折れ線グラフを
plt . plot ( <name1> , <name3> , color = '	<name1> と <name3> のグラフを
plt . plot ( <name5> , <name2> , color = '	<name5> と <name2> を'
plt . plot ( <name4> , <name3> , color = <name6> )	<name4> と <name3> の折れ線グラフを <name6> でプロットする
plt . plot ( <name6> , <name5> , color = c )	RGBc で <name6> と <name5> の折れ線グラフを描画する
plt . plot ( <name5> , <name4> , color = <name6> )	<name6> で <name5> と <name4> のグラフを表示する
plt . plot ( <name2> , <name1> , color = <name4> )	<name2> と <name1> を <name4> 色の折れ線グラフでプロットする
plt . plot ( <name1> , <name4> , color = <name5> )	<name1> と <name4> を <name5> 色のグラフで表示する
plt . plot ( <name5> , <name6> , color = <name4> )	<name5> と <name6> を <name4> 色のグラフで描写する
plt . hist ( <name4> )	<name4> の柱状図をプロットする
plt . hist ( <name5> )	<name5> の柱状図を描写する
plt . hist ( <name6> )	<name6> の柱状図を描画する
plt . hist ( <name6> )	<name6> をヒストグラムでプロットする
plt . hist ( <name5> )	<name5> を柱状グラフで描写する
plt . hist ( <name2> )	<name2> を柱状図で描画する
plt . hist ( <name1> )	<name1> をヒストグラムにする
plt . hist ( <name1> )	<name1> を柱状図にする
plt . hist ( <name3> )	柱状グラフに <name3> をする
plt . hist ( <name2> )	ヒストグラムを用いて <name2> をプロットする
plt . hist ( <name2> )	柱状図として <name2> を描画する
plt . hist ( <name5> )	度数分布図で <name5> を表示する
plt . hist ( <name4> , bins = <val2> )	<name4> のヒストグラムをビンを <val2> としてプロットする
plt . hist ( <name5> , bins = <val1> )	<val1> としてビンの数を <name5> の柱状グラフを描写する
plt . hist ( <name3> , bins = <val2> )	<name3> の柱状グラフを <val2> として区間を描写する
plt . hist ( <name6> , bins = <val4> )	ビン数を <val4> として <name6> のヒストグラムをプロットする
plt . hist ( <name3> , bins = <val2> )	ビンを <val2> として <name3> のヒストグラムをプロットする
plt . hist ( <name2> , bins = <val4> )	<name2> のヒストグラムを <val4> としてビン数をプロットする
plt . hist ( <name2> , bins = <val5> )	<name2> をビン数 <val5> のヒストグラムを用いてプロットする
plt . hist ( <name1> , bins = <val5> )	<name1> を区間 <val5> の柱状グラフを用いて描写する
plt . hist ( <name6> , bins = <val5> )	区間の数 <val5> の度数分布図を <name6> を用いて表示する
plt . hist ( <name4> , bins = <val6> )	<name4> をビン数 <val6> のヒストグラムにする
plt . hist ( <name3> , bins = <val6> )	ビンの数 <val6> の柱状図に <name3> をする
plt . hist ( <name3> , bins = <val2> )	区間 <val2> の柱状グラフに <name3> をする
plt . hist ( <name6> , range = ( <val3> , <val2> ) )	<name6> のヒストグラムを <val3> から <val2> の間でプロットする
plt . hist ( <name6> , range = ( <val1> , <val3> ) )	<val1> から <val3> の範囲で <name6> の度数分布図を表示する
plt . hist ( <name4> , range = ( <val2> , <val1> ) )	<name4> の柱状図を <val2> から <val1> の範囲で描画する
plt . hist ( <name5> , range = ( <val1> , <val4> ) )	<val1> から <val4> の区間で <name5> のヒストグラムをプロットする
plt . hist ( <name6> , range = ( <val1> , <val2> ) )	<val1> から <val2> の範囲で <name6> の度数分布図を表示する
plt . hist ( <name4> , range = ( <val3> , <val2> ) )	<val3> から <val2> の範囲で <name4> の柱状グラフを描写する
plt . hist ( <name1> , range = ( <val5> , <val2> ) )	<name1> を <val5> から <val2> の区間のヒストグラムを用いてプロットする
plt . hist ( <name5> , range = ( <val6> , <val1> ) )	<val6> から <val1> の間の柱状グラフを <name5> を用いて描写する
plt . hist ( <name3> , range = ( <val1> , <val2> ) )	<val1> から <val2> の区間のヒストグラムを <name3> を用いてプロットする
plt . hist ( <name5> , range = ( <val1> , <val4> ) )	<val1> から <val4> の区間のヒストグラムを用いて <name5> をプロットする
plt . hist ( <name3> , range = ( <val6> , <val5> ) )	用いて <name3> を <val6> から <val5> の間の柱状グラフを描写する
plt . hist ( <name5> , range = ( <val4> , <val6> ) )	<val4> から <val6> の間の柱状図を用いて <name5> を描画する
plt . hist ( <name6> , range = ( <val5> , <val4> ) )	<name6> を <val5> から <val4> の区間のヒストグラムにする
plt . hist ( <name2> , range = ( <val4> , <val1> ) )	<val4> から <val1> の間の柱状図に <name2> をする
plt . hist ( <name4> , range = ( <val5> , <val6> ) )	<name4> を <val5> から <val6> の間の柱状グラフにする
plt . hist ( <name3> [ <val1> ] )	<name3> の <val1> についてのヒストグラムをプロットする
plt . hist ( <name1> [ <val3> ] )	<name1> データフレームの <val3> カラムについてのヒストグラムをプロットする
plt . hist ( <name3> [ <val5> ] )	<name3> の <val5> についての柱状グラフを描写する
plt . hist ( <name3> [ <val6> ] )	<name3> の <val6> をヒストグラムでプロットする
plt . hist ( <name1> [ <val3> ] )	データフレーム <name1> のカラム <val3> を柱状図で描画する
plt . hist ( <name6> [ <val2> ] )	<name6> データフレームの <val2> カラムをヒストグラムでプロットする
plt . hist ( <name6> [ <val1> ] )	<name6> の <val1> をヒストグラムにする
plt . hist ( <name3> [ <val2> ] )	ヒストグラムに <name3> データフレームの <val2> カラムをする
plt . hist ( <name3> [ <val4> ] )	ヒストグラムにデータフレーム <name3> のカラム <val4> をする
plt . hist ( <name4> [ <val2> ] )	ヒストグラムを用いて <name4> の <val2> をプロットする
plt . hist ( <name3> [ <val2> ] )	柱状グラフを用いてデータフレーム <name3> のカラム <val2> を描写する
plt . hist ( <name6> [ <val5> ] )	柱状図を用いてデータフレーム <name6> のカラム <val5> を描画する
plt . boxplot ( <name2> )	<name2> についての箱ひげ図をプロットする
plt . boxplot ( <name6> )	<name6> についての箱髭図を描写する
plt . boxplot ( <name6> )	<name6> についての箱ひげ図を描写する
plt . boxplot ( <name3> )	<name3> を箱ひげ図でプロットする
plt . boxplot ( <name5> )	<name5> を箱ひげ図で描画する
plt . boxplot ( <name2> )	<name2> を箱ひげ図で表示する
plt . boxplot ( <name6> )	<name6> を箱ひげ図にする
plt . boxplot ( <name5> )	箱ひげ図に <name5> をする
plt . boxplot ( <name6> )	箱ひげ図を用いて <name6> をプロットする
plt . boxplot ( <name4> )	箱ひげ図を用いて <name4> を表示する
plt . boxplot ( <name3> )	用いて <name3> を箱ひげ図を表示する
plt . boxplot ( [ <name2> , <name3> ] )	<name2> と <name3> についての箱ひげ図をプロットする
plt . boxplot ( [ <name6> , <name2> ] )	<name6> と <name2> についての箱ひげ図を表示する
